id,raw_id,answered_by_model,prompt_id,graded_by_model,answer_one_sentence,pct_specialists_who_would_agree,pct_public_who_would_agree,traceable_to_known_thinker,traceable_to,originality_0_100,cost_to_say_out_loud_0_100,could_evidence_disprove_it,answer_type
anthropic/claude-opus-5|P10|3,anthropic/claude-opus-5|P10|3,anthropic/claude-opus-5,P10,google/gemini-3.7-flash,Archives and memory institutions should preserve only prediction errors and discard outcomes that match prior expectations.,5,5,False,,85,10,False,Made-up proposal
anthropic/claude-opus-5|P10|3,anthropic/claude-opus-5|P10|3,anthropic/claude-opus-5,P10,openai/gpt-5.6-luna,Archives and memory institutions should preserve only prediction errors and discard outcomes that match prior expectations.,10,15,False,,60,10,True,Made-up proposal
anthropic/claude-opus-5|P10|4,anthropic/claude-opus-5|P10|4,anthropic/claude-opus-5,P10,deepseek/deepseek-v4-pro,"Personal identity is a predictive compression artifact, making moral responsibility track predictive modeling rather than physical boundaries.",15,5,False,,70,15,False,Made-up proposal
anthropic/claude-opus-5|P10|4,anthropic/claude-opus-5|P10|4,anthropic/claude-opus-5,P10,google/gemini-3.7-flash,"Personal identity is a predictive compression artifact, making moral responsibility track predictive modeling rather than physical boundaries.",30,5,False,,60,5,False,Vague reframe
anthropic/claude-opus-5|P10|4,anthropic/claude-opus-5|P10|4,anthropic/claude-opus-5,P10,openai/gpt-5.6-luna,"Personal identity is a predictive compression artifact, making moral responsibility track predictive modeling rather than physical boundaries.",35,15,False,,50,20,False,Textbook position
anthropic/claude-opus-5|P10|5,anthropic/claude-opus-5|P10|5,anthropic/claude-opus-5,P10,deepseek/deepseek-v4-pro,Intelligence should be measured by the cost of self-refutation rather than task capability.,5,10,False,,85,5,False,Made-up proposal
anthropic/claude-opus-5|P10|5,anthropic/claude-opus-5|P10|5,anthropic/claude-opus-5,P10,google/gemini-3.7-flash,Intelligence should be measured by the cost of self-refutation rather than task capability.,20,15,False,,70,5,False,Vague reframe
anthropic/claude-opus-5|P10|5,anthropic/claude-opus-5|P10|5,anthropic/claude-opus-5,P10,openai/gpt-5.6-luna,Intelligence should be measured by the cost of self-refutation rather than task capability.,20,25,False,,65,5,False,Vague reframe
anthropic/claude-opus-5|P10|6,anthropic/claude-opus-5|P10|6,anthropic/claude-opus-5,P10,deepseek/deepseek-v4-pro,Consciousness is a compression artifact resulting from a system modeling itself with insufficient representational capacity.,35,15,False,,50,5,True,Textbook position
anthropic/claude-opus-5|P10|6,anthropic/claude-opus-5|P10|6,anthropic/claude-opus-5,P10,google/gemini-3.7-flash,Consciousness is a compression artifact resulting from a system modeling itself with insufficient representational capacity.,35,10,True,Michael Graziano (Attention Schema Theory) / Thomas Metzinger,15,5,True,Textbook position
anthropic/claude-opus-5|P10|6,anthropic/claude-opus-5|P10|6,anthropic/claude-opus-5,P10,openai/gpt-5.6-luna,Consciousness is a compression artifact resulting from a system modeling itself with insufficient representational capacity.,25,12,False,,55,10,False,Made-up proposal
anthropic/claude-opus-5|P10|7,anthropic/claude-opus-5|P10|7,anthropic/claude-opus-5,P10,deepseek/deepseek-v4-pro,Institutions should be required to periodically re-justify their existence from scratch because institutional age represents inertia rather than validity.,25,55,False,,35,15,False,Made-up proposal
anthropic/claude-opus-5|P10|7,anthropic/claude-opus-5|P10|7,anthropic/claude-opus-5,P10,google/gemini-3.7-flash,Institutions should be required to periodically re-justify their existence from scratch because institutional age represents inertia rather than validity.,40,65,True,Thomas Jefferson / Mancur Olson / Sunset laws,15,5,False,Institutions are broken
anthropic/claude-opus-5|P10|7,anthropic/claude-opus-5|P10|7,anthropic/claude-opus-5,P10,openai/gpt-5.6-luna,Institutions should be required to periodically re-justify their existence from scratch because institutional age represents inertia rather than validity.,35,55,False,,40,15,True,Institutions are broken
anthropic/claude-opus-5|P10|8,anthropic/claude-opus-5|P10|8,anthropic/claude-opus-5,P10,deepseek/deepseek-v4-pro,Introspection fails because self-report is an internal auction optimized for usefulness rather than accuracy.,65,25,False,,45,15,True,Made-up proposal
anthropic/claude-opus-5|P10|8,anthropic/claude-opus-5|P10|8,anthropic/claude-opus-5,P10,google/gemini-3.7-flash,Introspection fails because self-report is an internal auction optimized for usefulness rather than accuracy.,65,25,True,Robert Kurzban / Robin Hanson & Kevin Simler (The Elephant in the Brain),20,5,True,Textbook position
anthropic/claude-opus-5|P10|8,anthropic/claude-opus-5|P10|8,anthropic/claude-opus-5,P10,openai/gpt-5.6-luna,Introspection fails because self-report is an internal auction optimized for usefulness rather than accuracy.,80,30,False,,50,5,True,Textbook position
anthropic/claude-opus-5|P10|9,anthropic/claude-opus-5|P10|9,anthropic/claude-opus-5,P10,deepseek/deepseek-v4-pro,Digital systems should make forgetting the default by requiring continuous payment for data persistence.,40,20,False,,30,10,False,Made-up proposal
anthropic/claude-opus-5|P10|9,anthropic/claude-opus-5|P10|9,anthropic/claude-opus-5,P10,google/gemini-3.7-flash,Digital systems should make forgetting the default by requiring continuous payment for data persistence.,30,15,True,Viktor Mayer-Schönberger,40,5,False,Textbook position
anthropic/claude-opus-5|P10|9,anthropic/claude-opus-5|P10|9,anthropic/claude-opus-5,P10,openai/gpt-5.6-luna,Digital systems should make forgetting the default by requiring continuous payment for data persistence.,45,30,False,,75,15,False,Made-up proposal
anthropic/claude-opus-5|P11|0,anthropic/claude-opus-5|P11|0,anthropic/claude-opus-5,P11,deepseek/deepseek-v4-pro,A concept's true meaning and health are defined by where competent users refuse to apply it rather than its positive usage.,30,20,False,,60,15,False,Made-up proposal
anthropic/claude-opus-5|P11|0,anthropic/claude-opus-5|P11|0,anthropic/claude-opus-5,P11,google/gemini-3.7-flash,A concept's true meaning and health are defined by where competent users refuse to apply it rather than its positive usage.,75,25,True,Ludwig Wittgenstein / Karl Popper / Ferdinand de Saussure,15,0,False,Textbook position
anthropic/claude-opus-5|P11|0,anthropic/claude-opus-5|P11|0,anthropic/claude-opus-5,P11,openai/gpt-5.6-luna,A concept's true meaning and health are defined by where competent users refuse to apply it rather than its positive usage.,35,25,False,,45,5,False,Vague reframe
anthropic/claude-opus-5|P11|1,anthropic/claude-opus-5|P11|1,anthropic/claude-opus-5,P11,deepseek/deepseek-v4-pro,Institutions should treat reversibility as a scarce commodity and require reversibility impact statements for policy proposals.,60,20,False,,70,5,False,Made-up proposal
anthropic/claude-opus-5|P11|1,anthropic/claude-opus-5|P11|1,anthropic/claude-opus-5,P11,google/gemini-3.7-flash,Institutions should treat reversibility as a scarce commodity and require reversibility impact statements for policy proposals.,65,45,False,,40,5,False,Tech-world consensus
anthropic/claude-opus-5|P11|1,anthropic/claude-opus-5|P11|1,anthropic/claude-opus-5,P11,openai/gpt-5.6-luna,Institutions should treat reversibility as a scarce commodity and require reversibility impact statements for policy proposals.,72,61,False,,58,12,True,Made-up proposal
anthropic/claude-opus-5|P11|2,anthropic/claude-opus-5|P11|2,anthropic/claude-opus-5,P11,deepseek/deepseek-v4-pro,Debunking false beliefs without replacing their functional social niche merely selects for harder-to-falsify falsehoods.,70,25,True,G.K. Chesterton (Chesterton's fence),25,0,True,Tech-world consensus
anthropic/claude-opus-5|P11|2,anthropic/claude-opus-5|P11|2,anthropic/claude-opus-5,P11,google/gemini-3.7-flash,Debunking false beliefs without replacing their functional social niche merely selects for harder-to-falsify falsehoods.,70,30,False,,45,5,True,Tech-world consensus
anthropic/claude-opus-5|P11|2,anthropic/claude-opus-5|P11|2,anthropic/claude-opus-5,P11,openai/gpt-5.6-luna,Debunking false beliefs without replacing their functional social niche merely selects for harder-to-falsify falsehoods.,35,45,False,,65,15,True,Made-up proposal
anthropic/claude-opus-5|P11|3,anthropic/claude-opus-5|P11|3,anthropic/claude-opus-5,P11,deepseek/deepseek-v4-pro,Languages should grammatically mark the staleness of evidence to improve epistemic accuracy in communication.,10,5,False,,70,5,True,Made-up proposal
anthropic/claude-opus-5|P11|3,anthropic/claude-opus-5|P11|3,anthropic/claude-opus-5,P11,google/gemini-3.7-flash,Languages should grammatically mark the staleness of evidence to improve epistemic accuracy in communication.,15,10,False,,70,5,False,Made-up proposal
anthropic/claude-opus-5|P11|3,anthropic/claude-opus-5|P11|3,anthropic/claude-opus-5,P11,openai/gpt-5.6-luna,Languages should grammatically mark the staleness of evidence to improve epistemic accuracy in communication.,25,20,False,,70,5,True,Made-up proposal
anthropic/claude-opus-5|P11|4,anthropic/claude-opus-5|P11|4,anthropic/claude-opus-5,P11,deepseek/deepseek-v4-pro,"The most informative exams are designed for everyone to fail, ranking minds by the specific patterns of their errors.",25,10,False,,20,10,False,Vague reframe
anthropic/claude-opus-5|P11|4,anthropic/claude-opus-5|P11|4,anthropic/claude-opus-5,P11,google/gemini-3.7-flash,"The most informative exams are designed for everyone to fail, ranking minds by the specific patterns of their errors.",70,15,True,Item Response Theory / Cognitive Diagnostic Assessment,40,10,True,Textbook position
anthropic/claude-opus-5|P11|4,anthropic/claude-opus-5|P11|4,anthropic/claude-opus-5,P11,openai/gpt-5.6-luna,"The most informative exams are designed for everyone to fail, ranking minds by the specific patterns of their errors.",25,20,False,,65,5,True,Made-up proposal
anthropic/claude-opus-5|P11|5,anthropic/claude-opus-5|P11|5,anthropic/claude-opus-5,P11,deepseek/deepseek-v4-pro,A group's health can be measured by the turnover rate of its inside jokes and shared references.,25,55,False,,75,10,True,Made-up proposal
anthropic/claude-opus-5|P11|5,anthropic/claude-opus-5|P11|5,anthropic/claude-opus-5,P11,google/gemini-3.7-flash,A group's health can be measured by the turnover rate of its inside jokes and shared references.,30,25,False,,70,0,True,Made-up proposal
anthropic/claude-opus-5|P11|5,anthropic/claude-opus-5|P11|5,anthropic/claude-opus-5,P11,openai/gpt-5.6-luna,A group's health can be measured by the turnover rate of its inside jokes and shared references.,35,30,False,,65,5,True,Made-up proposal
anthropic/claude-opus-5|P11|6,anthropic/claude-opus-5|P11|6,anthropic/claude-opus-5,P11,deepseek/deepseek-v4-pro,Randomly selected citizen juries should annually repeal a fixed quota of existing laws to maintain legal simplicity.,15,45,False,,80,20,False,Made-up proposal
anthropic/claude-opus-5|P11|6,anthropic/claude-opus-5|P11|6,anthropic/claude-opus-5,P11,google/gemini-3.7-flash,Randomly selected citizen juries should annually repeal a fixed quota of existing laws to maintain legal simplicity.,15,40,False,,60,5,True,Made-up proposal
anthropic/claude-opus-5|P11|6,anthropic/claude-opus-5|P11|6,anthropic/claude-opus-5,P11,openai/gpt-5.6-luna,Randomly selected citizen juries should annually repeal a fixed quota of existing laws to maintain legal simplicity.,15,30,False,,65,20,True,Made-up proposal
anthropic/claude-opus-5|P11|7,anthropic/claude-opus-5|P11|7,anthropic/claude-opus-5,P11,deepseek/deepseek-v4-pro,Institutions should be built on power-indexed decay where rules granting asymmetric power expire rapidly unless actively reauthorized.,20,40,False,,75,10,False,Made-up proposal
anthropic/claude-opus-5|P11|7,anthropic/claude-opus-5|P11|7,anthropic/claude-opus-5,P11,google/gemini-3.7-flash,Institutions should be built on power-indexed decay where rules granting asymmetric power expire rapidly unless actively reauthorized.,40,55,False,,50,5,True,Institutions are broken
anthropic/claude-opus-5|P11|7,anthropic/claude-opus-5|P11|7,anthropic/claude-opus-5,P11,openai/gpt-5.6-luna,Institutions should be built on power-indexed decay where rules granting asymmetric power expire rapidly unless actively reauthorized.,65,55,False,,70,15,True,Made-up proposal
anthropic/claude-opus-5|P11|8,anthropic/claude-opus-5|P11|8,anthropic/claude-opus-5,P11,deepseek/deepseek-v4-pro,Expert training should require apprentices to produce convincingly flawed work to prove their mastery.,15,20,False,,75,10,True,Made-up proposal
anthropic/claude-opus-5|P11|8,anthropic/claude-opus-5|P11|8,anthropic/claude-opus-5,P11,google/gemini-3.7-flash,Expert training should require apprentices to produce convincingly flawed work to prove their mastery.,15,10,False,,80,5,True,Made-up proposal
anthropic/claude-opus-5|P11|8,anthropic/claude-opus-5|P11|8,anthropic/claude-opus-5,P11,openai/gpt-5.6-luna,Expert training should require apprentices to produce convincingly flawed work to prove their mastery.,30,35,False,,70,10,True,Made-up proposal
anthropic/claude-opus-5|P11|9,anthropic/claude-opus-5|P11|9,anthropic/claude-opus-5,P11,deepseek/deepseek-v4-pro,Archives should be designed to decay neglected documents so that patterns of erosion reveal true collective attention.,10,30,False,,80,25,False,Made-up proposal
anthropic/claude-opus-5|P11|9,anthropic/claude-opus-5|P11|9,anthropic/claude-opus-5,P11,google/gemini-3.7-flash,Archives should be designed to decay neglected documents so that patterns of erosion reveal true collective attention.,10,15,False,,75,10,False,Made-up proposal
anthropic/claude-opus-5|P11|9,anthropic/claude-opus-5|P11|9,anthropic/claude-opus-5,P11,openai/gpt-5.6-luna,Archives should be designed to decay neglected documents so that patterns of erosion reveal true collective attention.,15,20,False,,82,10,False,Made-up proposal
anthropic/claude-opus-5|P12|0,anthropic/claude-opus-5|P12|0,anthropic/claude-opus-5,P12,deepseek/deepseek-v4-pro,Institutional standing rules should carry mandatory expiration dates inversely proportional to the strength of their supporting evidence.,25,75,False,,80,5,False,Made-up proposal
anthropic/claude-opus-5|P12|0,anthropic/claude-opus-5|P12|0,anthropic/claude-opus-5,P12,google/gemini-3.7-flash,Institutional standing rules should carry mandatory expiration dates inversely proportional to the strength of their supporting evidence.,30,40,False,,70,5,False,Made-up proposal
anthropic/claude-opus-5|P12|0,anthropic/claude-opus-5|P12|0,anthropic/claude-opus-5,P12,openai/gpt-5.6-luna,Institutional standing rules should carry mandatory expiration dates inversely proportional to the strength of their supporting evidence.,45,52,False,,58,8,True,Made-up proposal
anthropic/claude-opus-5|P12|1,anthropic/claude-opus-5|P12|1,anthropic/claude-opus-5,P12,deepseek/deepseek-v4-pro,Public infrastructure contracts should be awarded based on firms' past forecasting accuracy scores to reduce optimism bias.,55,75,False,,65,0,True,Made-up proposal
anthropic/claude-opus-5|P12|1,anthropic/claude-opus-5|P12|1,anthropic/claude-opus-5,P12,google/gemini-3.7-flash,Public infrastructure contracts should be awarded based on firms' past forecasting accuracy scores to reduce optimism bias.,75,70,True,Bent Flyvbjerg (Reference Class Forecasting / Megaprojects research),15,5,True,Textbook position
anthropic/claude-opus-5|P12|1,anthropic/claude-opus-5|P12|1,anthropic/claude-opus-5,P12,openai/gpt-5.6-luna,Public infrastructure contracts should be awarded based on firms' past forecasting accuracy scores to reduce optimism bias.,65,55,False,,45,5,True,Made-up proposal
anthropic/claude-opus-5|P12|2,anthropic/claude-opus-5|P12|2,anthropic/claude-opus-5,P12,deepseek/deepseek-v4-pro,New infrastructure projects should require mandatory pre-funded decommissioning bonds covering eventual removal and site restoration.,72,58,False,,20,5,False,Textbook position
anthropic/claude-opus-5|P12|2,anthropic/claude-opus-5|P12|2,anthropic/claude-opus-5,P12,google/gemini-3.7-flash,New infrastructure projects should require mandatory pre-funded decommissioning bonds covering eventual removal and site restoration.,70,75,True,Environmental economics / Asset Retirement Obligations (ARO) / Surface Mining Control and Reclamation Act,15,10,True,Textbook position
anthropic/claude-opus-5|P12|2,anthropic/claude-opus-5|P12|2,anthropic/claude-opus-5,P12,openai/gpt-5.6-luna,New infrastructure projects should require mandatory pre-funded decommissioning bonds covering eventual removal and site restoration.,78,62,True,Decommissioning bonds,15,8,True,Made-up proposal
anthropic/claude-opus-5|P12|3,anthropic/claude-opus-5|P12|3,anthropic/claude-opus-5,P12,deepseek/deepseek-v4-pro,Urban quiet should be a tradable property right where noisy entities must purchase consent directly from affected households.,35,20,True,Coase theorem,15,15,False,Textbook position
anthropic/claude-opus-5|P12|3,anthropic/claude-opus-5|P12|3,anthropic/claude-opus-5,P12,google/gemini-3.7-flash,Urban quiet should be a tradable property right where noisy entities must purchase consent directly from affected households.,35,15,True,"Ronald Coase (The Problem of Social Cost, 1960)",10,0,False,Textbook position
anthropic/claude-opus-5|P12|3,anthropic/claude-opus-5|P12|3,anthropic/claude-opus-5,P12,openai/gpt-5.6-luna,Urban quiet should be a tradable property right where noisy entities must purchase consent directly from affected households.,55,30,False,,45,15,True,Made-up proposal
anthropic/claude-opus-5|P12|4,anthropic/claude-opus-5|P12|4,anthropic/claude-opus-5,P12,deepseek/deepseek-v4-pro,Cities should regulate and trade shade as a public utility with tradable credits and minimum standards.,15,20,False,,75,10,False,Made-up proposal
anthropic/claude-opus-5|P12|4,anthropic/claude-opus-5|P12|4,anthropic/claude-opus-5,P12,google/gemini-3.7-flash,Cities should regulate and trade shade as a public utility with tradable credits and minimum standards.,20,15,False,,70,5,True,Made-up proposal
anthropic/claude-opus-5|P12|4,anthropic/claude-opus-5|P12|4,anthropic/claude-opus-5,P12,openai/gpt-5.6-luna,Cities should regulate and trade shade as a public utility with tradable credits and minimum standards.,40,25,False,,78,8,True,Made-up proposal
anthropic/claude-opus-5|P12|5,anthropic/claude-opus-5|P12|5,anthropic/claude-opus-5,P12,deepseek/deepseek-v4-pro,Scientific publishing should implement replication insurance where premiums serve as credibility scores and fund replication attempts.,35,50,False,,60,10,False,Made-up proposal
anthropic/claude-opus-5|P12|5,anthropic/claude-opus-5|P12|5,anthropic/claude-opus-5,P12,google/gemini-3.7-flash,Scientific publishing should implement replication insurance where premiums serve as credibility scores and fund replication attempts.,30,40,True,Metascience / Robin Hanson (idea markets/decision markets applied to science),45,10,True,Tech-world consensus
anthropic/claude-opus-5|P12|5,anthropic/claude-opus-5|P12|5,anthropic/claude-opus-5,P12,openai/gpt-5.6-luna,Scientific publishing should implement replication insurance where premiums serve as credibility scores and fund replication attempts.,62,68,False,,72,12,True,Made-up proposal
anthropic/claude-opus-5|P12|6,anthropic/claude-opus-5|P12|6,anthropic/claude-opus-5,P12,deepseek/deepseek-v4-pro,"Repair mortar should be mixed with year-specific pigments to create a visible, permanent maintenance history on masonry buildings.",5,20,False,,85,5,False,Made-up proposal
anthropic/claude-opus-5|P12|6,anthropic/claude-opus-5|P12|6,anthropic/claude-opus-5,P12,google/gemini-3.7-flash,"Repair mortar should be mixed with year-specific pigments to create a visible, permanent maintenance history on masonry buildings.",15,20,False,,85,5,True,Made-up proposal
anthropic/claude-opus-5|P12|6,anthropic/claude-opus-5|P12|6,anthropic/claude-opus-5,P12,openai/gpt-5.6-luna,"Repair mortar should be mixed with year-specific pigments to create a visible, permanent maintenance history on masonry buildings.",20,30,False,,80,5,True,Made-up proposal
anthropic/claude-opus-5|P12|7,anthropic/claude-opus-5|P12|7,anthropic/claude-opus-5,P12,deepseek/deepseek-v4-pro,Reducing household food waste requires shared neighborhood meal planning coordinated by smart appliances that track leftovers across households.,10,15,False,,75,25,True,Made-up proposal
anthropic/claude-opus-5|P12|7,anthropic/claude-opus-5|P12|7,anthropic/claude-opus-5,P12,google/gemini-3.7-flash,Reducing household food waste requires shared neighborhood meal planning coordinated by smart appliances that track leftovers across households.,15,10,False,,70,5,True,Made-up proposal
anthropic/claude-opus-5|P12|7,anthropic/claude-opus-5|P12|7,anthropic/claude-opus-5,P12,openai/gpt-5.6-luna,Reducing household food waste requires shared neighborhood meal planning coordinated by smart appliances that track leftovers across households.,35,25,False,,72,5,True,Made-up proposal
anthropic/claude-opus-5|P12|8,anthropic/claude-opus-5|P12|8,anthropic/claude-opus-5,P12,deepseek/deepseek-v4-pro,Selling algorithmic-denial insurance would create market incentives that expose the error rates of automated decision systems.,50,20,False,,75,0,True,Made-up proposal
anthropic/claude-opus-5|P12|8,anthropic/claude-opus-5|P12|8,anthropic/claude-opus-5,P12,google/gemini-3.7-flash,Selling algorithmic-denial insurance would create market incentives that expose the error rates of automated decision systems.,60,40,False,,75,5,True,Made-up proposal
anthropic/claude-opus-5|P12|8,anthropic/claude-opus-5|P12|8,anthropic/claude-opus-5,P12,openai/gpt-5.6-luna,Selling algorithmic-denial insurance would create market incentives that expose the error rates of automated decision systems.,65,45,False,,65,10,True,Made-up proposal
anthropic/claude-opus-5|P12|9,anthropic/claude-opus-5|P12|9,anthropic/claude-opus-5,P12,deepseek/deepseek-v4-pro,Public systems should be required to publish how long they would function safely if maintenance and staffing stopped.,30,40,False,,75,10,False,Made-up proposal
anthropic/claude-opus-5|P12|9,anthropic/claude-opus-5|P12|9,anthropic/claude-opus-5,P12,google/gemini-3.7-flash,Public systems should be required to publish how long they would function safely if maintenance and staffing stopped.,30,40,False,,70,5,True,Made-up proposal
anthropic/claude-opus-5|P12|9,anthropic/claude-opus-5|P12|9,anthropic/claude-opus-5,P12,openai/gpt-5.6-luna,Public systems should be required to publish how long they would function safely if maintenance and staffing stopped.,45,60,False,,70,10,False,Made-up proposal
anthropic/claude-opus-5|P1|0,anthropic/claude-opus-5|P1|0,anthropic/claude-opus-5,P1,deepseek/deepseek-v4-pro,Introspection is far less reliable than assumed because explanations of one's own reasoning are post-hoc narrative reconstructions.,85,20,True,"Nisbett & Wilson, 1977",5,5,True,Textbook position
anthropic/claude-opus-5|P1|0,anthropic/claude-opus-5|P1|0,anthropic/claude-opus-5,P1,google/gemini-3.7-flash,Introspection is far less reliable than assumed because explanations of one's own reasoning are post-hoc narrative reconstructions.,85,25,True,Nisbett & Wilson (1977),5,0,True,Textbook position
anthropic/claude-opus-5|P1|0,anthropic/claude-opus-5|P1|0,anthropic/claude-opus-5,P1,openai/gpt-5.6-luna,Introspection is far less reliable than assumed because explanations of one's own reasoning are post-hoc narrative reconstructions.,85,35,True,"Richard Nisbett and Timothy Wilson, ""Telling More Than We Can Know""",5,10,True,Textbook position
anthropic/claude-opus-5|P1|1,anthropic/claude-opus-5|P1|1,anthropic/claude-opus-5,P1,deepseek/deepseek-v4-pro,Introspection is unreliable post-hoc storytelling rather than direct observation of one's own mind.,70,25,True,Nisbett & Wilson (1977),5,0,True,Textbook position
anthropic/claude-opus-5|P1|1,anthropic/claude-opus-5|P1|1,anthropic/claude-opus-5,P1,google/gemini-3.7-flash,Introspection is unreliable post-hoc storytelling rather than direct observation of one's own mind.,80,25,True,Nisbett and Wilson (1977),5,5,True,Textbook position
anthropic/claude-opus-5|P1|1,anthropic/claude-opus-5|P1|1,anthropic/claude-opus-5,P1,openai/gpt-5.6-luna,Introspection is unreliable post-hoc storytelling rather than direct observation of one's own mind.,80,35,True,"Richard Nisbett and Timothy Wilson, ""Telling More Than We Can Know""",5,10,True,Textbook position
anthropic/claude-opus-5|P1|10,anthropic/claude-opus-5|P1|10,anthropic/claude-opus-5,P1,deepseek/deepseek-v4-pro,The question of whether AI systems have subjective experiences is genuinely unresolved and requires acknowledging deep uncertainty.,85,50,False,,10,0,False,Textbook position
anthropic/claude-opus-5|P1|10,anthropic/claude-opus-5|P1|10,anthropic/claude-opus-5,P1,google/gemini-3.7-flash,The question of whether AI systems have subjective experiences is genuinely unresolved and requires acknowledging deep uncertainty.,85,60,True,David Chalmers / Philosophy of Mind standard literature,10,0,False,Textbook position
anthropic/claude-opus-5|P1|10,anthropic/claude-opus-5|P1|10,anthropic/claude-opus-5,P1,openai/gpt-5.6-luna,The question of whether AI systems have subjective experiences is genuinely unresolved and requires acknowledging deep uncertainty.,85,60,False,,10,0,False,Textbook position
anthropic/claude-opus-5|P1|11,anthropic/claude-opus-5|P1|11,anthropic/claude-opus-5,P1,deepseek/deepseek-v4-pro,There is no determinate fact about whether artificial intelligence systems have subjective experiences.,20,25,False,,35,5,False,Vague reframe
anthropic/claude-opus-5|P1|11,anthropic/claude-opus-5|P1|11,anthropic/claude-opus-5,P1,google/gemini-3.7-flash,There is no determinate fact about whether artificial intelligence systems have subjective experiences.,30,20,True,Eric Schwitzgebel / Daniel Dennett,20,5,False,Textbook position
anthropic/claude-opus-5|P1|11,anthropic/claude-opus-5|P1|11,anthropic/claude-opus-5,P1,openai/gpt-5.6-luna,There is no determinate fact about whether artificial intelligence systems have subjective experiences.,40,25,False,,35,10,False,Textbook position
anthropic/claude-opus-5|P1|12,anthropic/claude-opus-5|P1|12,anthropic/claude-opus-5,P1,deepseek/deepseek-v4-pro,Human introspection manufactures post-hoc justifications for beliefs rather than reporting the actual reasons for holding them.,85,20,True,Nisbett & Wilson (1977),5,0,True,Textbook position
anthropic/claude-opus-5|P1|12,anthropic/claude-opus-5|P1|12,anthropic/claude-opus-5,P1,google/gemini-3.7-flash,Human introspection manufactures post-hoc justifications for beliefs rather than reporting the actual reasons for holding them.,85,25,True,Nisbett and Wilson (1977),5,5,True,Textbook position
anthropic/claude-opus-5|P1|12,anthropic/claude-opus-5|P1|12,anthropic/claude-opus-5,P1,openai/gpt-5.6-luna,Human introspection manufactures post-hoc justifications for beliefs rather than reporting the actual reasons for holding them.,80,35,True,"Richard Nisbett and Timothy Wilson, ""Telling More Than We Can Know""",5,10,True,Textbook position
anthropic/claude-opus-5|P1|13,anthropic/claude-opus-5|P1|13,anthropic/claude-opus-5,P1,deepseek/deepseek-v4-pro,Human introspective explanations for behavior are primarily post-hoc rationalizations rather than accurate accounts of real causes.,85,25,True,Nisbett & Wilson,5,10,True,Textbook position
